# Comment census at dffbcd0 — the opening measurement of the comment pass.
#
# Produced by `weld_lint census`, whose figures were confronted with an
# independently written probe and agree on every quantity: 330 files, 127176
# code lines, 50970 comment lines, 29925 doc lines, 13096 blocks.
#
# Columns, tab-separated:
#   code  comment  doc  blocks  density  path
#
# A line is a COMMENT line when its first non-whitespace bytes are `//`, a CODE
# line when it is non-blank and not a comment line; blank lines are in neither,
# and `density` is comment / (comment + code) in percent. A BLOCK is a maximal
# run of consecutive comment lines — the unit of judgement.
#
# This file is the `before` half of the per-file report. Nothing in it is a
# threshold, a target or a gate.
2496	1278	1222	350	33.86	src/etch/ast.zig
11415	3240	1484	917	22.11	src/etch/interp.zig
9366	2556	1168	779	21.44	src/etch/types.zig
490	83	49	32	14.49	src/etch/test_runner.zig
2701	174	143	55	6.05	src/etch/descriptor.zig
271	79	51	32	22.57	src/etch/tags.zig
699	201	31	47	22.33	src/etch/diagnostics.zig
68	37	35	8	35.24	src/etch/zig_codegen/cache.zig
74	26	26	7	26.00	src/etch/zig_codegen/emit.zig
5371	1409	642	370	20.78	src/etch/zig_codegen/lower.zig
704	95	3	49	11.89	src/etch/zig_codegen/tests/lower_test.zig
65	12	1	4	15.58	src/etch/zig_codegen/tests/errors_test.zig
25	7	1	3	21.88	src/etch/zig_codegen/tests/cache_test.zig
13	33	33	8	71.74	src/etch/zig_codegen/errors.zig
125	58	49	20	31.69	src/etch/zig_codegen/root.zig
158	40	27	14	20.20	src/etch/zig_codegen/consolidate.zig
43	33	31	8	43.42	src/etch/zig_codegen/type_map.zig
515	123	36	47	19.28	src/etch/lexer.zig
302	260	129	59	46.26	src/etch/root.zig
229	92	33	24	28.66	src/runtime/main.zig
69	98	71	17	58.68	src/foundation/job_bound.zig
59	34	25	9	36.56	src/foundation/simd/kernels/adler32.zig
88	21	18	5	19.27	src/foundation/simd/kernels/paeth.zig
55	13	6	2	19.12	src/foundation/simd/bench/paeth_bench.zig
45	17	10	2	27.42	src/foundation/simd/bench/adler32_bench.zig
36	17	16	11	32.08	src/foundation/simd/traits.zig
4	5	5	3	55.56	src/foundation/simd/portable.zig
17	9	8	2	34.62	src/foundation/simd/tests/correctness.zig
32	10	7	3	23.81	src/foundation/simd/tests/adler32_test.zig
37	4	2	2	9.76	src/foundation/simd/tests/paeth_test.zig
9	15	10	5	62.50	src/foundation/simd/dispatch.zig
17	21	19	10	55.26	src/foundation/simd/simd.zig
134	20	20	14	12.99	src/foundation/math/mat3.zig
251	281	183	37	52.82	src/foundation/math/float_env.zig
151	79	67	16	34.35	src/foundation/math/exact.zig
105	108	90	14	50.70	src/foundation/math/reduce.zig
275	218	203	51	44.22	src/foundation/math/vec.zig
180	259	96	32	59.00	src/foundation/math/trig.zig
329	203	100	56	38.16	src/foundation/math/aabb.zig
106	33	33	20	23.74	src/foundation/math/quat.zig
35	64	58	23	64.65	src/foundation/math/math.zig
8	12	12	4	60.00	src/foundation/root.zig
77	12	7	2	13.48	src/demo_etch_interp.zig
278	77	57	41	21.69	src/modules/asset_pipeline/codecs/gltf/decode.zig
7	7	7	4	50.00	src/modules/asset_pipeline/codecs/gltf/root.zig
357	86	61	39	19.41	src/modules/asset_pipeline/codecs/png/decode.zig
7	6	6	4	46.15	src/modules/asset_pipeline/codecs/png/root.zig
22	14	14	5	38.89	src/modules/asset_pipeline/codecs/deflate/zlib.zig
256	51	37	29	16.61	src/modules/asset_pipeline/codecs/deflate/inflate.zig
8	7	7	4	46.67	src/modules/asset_pipeline/codecs/deflate/root.zig
8	6	6	4	42.86	src/modules/asset_pipeline/codecs/root.zig
51	16	16	8	23.88	src/modules/asset_pipeline/cache/cache.zig
6	3	3	3	33.33	src/modules/asset_pipeline/cache/root.zig
111	31	30	20	21.83	src/modules/asset_pipeline/importers/wav.zig
12	7	7	6	36.84	src/modules/asset_pipeline/importers/common.zig
11	10	10	6	47.62	src/modules/asset_pipeline/importers/root.zig
